eng;ger
Bayern Munich;FC Bayern München
Dortmund;Borussia Dortmund
Leverkusen;Bayer 04 Leverkusen
M'gladbach;Borussia Mönchengladbach
M'Gladbach;Borussia Mönchengladbach
Wolfsburg;VfL Wolfsburg
Ein Frankfurt;Eintracht Frankfurt
Werder Bremen;SV Werder Bremen
Freiburg;SC Freiburg
Union Berlin;1. FC Union Berlin
RB Leipzig;RB Leipzig
Hoffenheim;TSG 1899 Hoffenheim
Fortuna Dusseldorf;Fortuna Düsseldorf
Dusseldorf;Fortuna Düsseldorf
Hertha;Hertha BSC
Mainz;1. FSV Mainz 05
Schalke 04;FC Schalke 04
Augsburg;FC Augsburg
FC Koln;1. FC Köln
Paderborn;SC Paderborn 07
Hannover;Hannover 96
Stuttgart;VfB Stuttgart
Hamburg;Hamburger SV
Nurnberg;1. FC Nürnberg
Augsburg;FC Augsburg
Ingolstadt;FC Ingolstadt 04
Darmstadt;SV Darmstadt 98
Munich 1860;TSV 1860 München
Aachen;Alemannia Aachen
Bielefeld;Arminia Bielefeld
Bochum;VfL Bochum
Braunschweig;Eintracht Braunschweig
Cottbus;Energie Cottbus
Dresden;Dynamo Dresden
Duisburg;MSV Duisburg
Greuther Furth;SpVgg Greuther Fürth
Hansa Rostock;FC Hansa Rostock
Kaiserslautern;1. FC Kaiserslautern
Karlsruhe;Karlsruher SC
Leipzig;VfB Leipzig
St Pauli;FC St. Pauli
Uerdingen;KFC Uerdingen 05
Ulm;SSV Ulm 1846
Unterhaching;SpVgg Unterhaching
Wattenscheid;SG Wattenscheid
Heidenheim;1. FC Heidenheim 1846
Holstein Kiel;Holstein Kiel